geoid,name,tstpos_20200120,tstpos_20200121,tstpos_20200122,tstpos_20200123,tstpos_20200124,tstpos_20200125,tstpos_20200126,tstpos_20200127,tstpos_20200128,tstpos_20200129,tstpos_20200130,tstpos_20200131,tstpos_20200201,tstpos_20200202,tstpos_20200203,tstpos_20200204,tstpos_20200205,tstpos_20200206,tstpos_20200207,tstpos_20200208,tstpos_20200209,tstpos_20200210,tstpos_20200211,tstpos_20200212,tstpos_20200213,tstpos_20200214,tstpos_20200215,tstpos_20200216,tstpos_20200217,tstpos_20200218,tstpos_20200219,tstpos_20200220,tstpos_20200221,tstpos_20200222,tstpos_20200223,tstpos_20200224,tstpos_20200225,tstpos_20200226,tstpos_20200227,tstpos_20200228,tstpos_20200229,tstpos_20200301,tstpos_20200302,tstpos_20200303,tstpos_20200304,tstpos_20200305,tstpos_20200306,tstpos_20200307,tstpos_20200308,tstpos_20200309,tstpos_20200310,tstpos_20200311,tstpos_20200312,tstpos_20200313,tstpos_20200314,tstpos_20200315,tstpos_20200316,tstpos_20200317,tstpos_20200318,tstpos_20200319,tstpos_20200320,tstpos_20200321,tstpos_20200322,tstpos_20200323,tstpos_20200324,tstpos_20200325,tstpos_20200326,tstpos_20200327,tstpos_20200328,tstpos_20200329,tstpos_20200330,tstpos_20200331,tstpos_20200401,tstpos_20200402,tstpos_20200403,tstpos_20200404,tstpos_20200405,tstpos_20200406,tstpos_20200407,tstpos_20200408,tstpos_20200409,tstpos_20200410,tstpos_20200411,tstpos_20200412,tstpos_20200413
05000US01001,"Autauga County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,6,7,7,10,10,12,12,12,12,12,12,17,17,19,19,19
05000US01003,"Baldwin County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,4,5,5,10,15,18,19,23,25,28,29,34,38,42,49,59,59,66,71,72
05000US01005,"Barbour County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,7,9,9,10,10
05000US01007,"Bibb County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,7,7,8,9,11,11,13,16,17
05000US01009,"Blount County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,5,5,5,6,9,10,10,10,10,10,11,12,12,13,14
05000US01011,"Bullock County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,2,2,2,2,2,2,2,3,4,4,4,4,5
05000US01013,"Butler County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,7,8
05000US01015,"Calhoun County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,9,9,11,12,20,21,24,38,48,52,54,54,57,59,61
05000US01017,"Chambers County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,10,13,15,17,27,36,36,45,67,81,87,90,96,102,140,161,171,181,198,212
05000US01019,"Cherokee County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,5,6,6,6,6,7,7,7,7,8,9
